FirstName,LastName,GroupName,AlbumTitle,Genre,Format
Richard,Marx,null,Richard Marx,Rock,CD
Mila,Mason,null,That's Enough Of That,Country,CD
Billy Ray,Cyrus,null,Some Gave All,Country,CD
null,null,Dan + Shay,Where It All Began,Country,CD
Linda,Davis,null,I'm Yours,Country,CD
Jennifer,Day,null,The Fun Of Your Love,Country,CD
Taylor,Dayne,null,Greatest Hits,Pop,CD
null,null,Destiny's Child,Destiny Fulfilled,R&B/Soul,CD
Neil,Diamond,null,His 12 Greatest Hits,Soft Rock,CD
null,null,Diamond Rio,Greatest Hits,Country,CD
Celine,Dion,null,Falling Into You,Pop,CD
null,null,Dixie Chicks,Home,Country,CD
null,null,Matchbox 20,Yourself Or Someone Like You,Alternative Rock,CD
John,Mayer,null,Heavier Things,Combination,CD
Martina,McBride,null,Emotion,Country,CD
Lila,McCann,null,Complete,Country,CD
Neil,McCoy,null,Greatest Hits,Country,CD
Mindy,McCready,null,Mindy McCready,Country,CD
null,null,Dream,It Was All A Dream,Pop,CD
nun,null,Duffy,Rockferry,Combination,CD
null,null,Eden's Crush,Popstars,Combination,CD
null,null,Emerson Drive,Emerson Drive,Country,CD
null,null,En Vogue,Remix To Sing,R&B/Soul,CD
Melissa,Etheridge,null,Yes I Am,Heartland Rock,CD
Shelley,Fabares,null,Shelley!-The Things We Did Last Summer,Pop,CD
Fergie,null,null,The Dutchess,Hip Hop,CD
Ella,Fitzgerald,null,Ken Burns Jazz,Jazz,CD
null,null,Five For Fighting,The Battle Of Everything,Alternative Rock,CD
null,null,The Foundations,Build Me Up Buttercup,Rock,CD
Reba,McEntire,null,Starting Over,Country,CD
Brian,McKnight,null,Back At One,R&B/Soul,CD
Meatloaf,null,null,Bat Out Of Hell II: Back Into Hell,Rock,CD
Melanie,null,null,The Encore Collection,Folk,CD
John Cougar,Mellencamp,null,An American Fool,Heartland Rock,CD
null,null,Memphis All-Stars,Blues Train,Blues,CD
George,Michael,null,Faith,Pop,CD
null,null,M2M,The Big Room,Pop,CD
Shawn,Mullins,null,Soul's Core,Alternative Rock,CD
Judy,Garland,null,Over The Rainbow,Standards,CD
Marvin,Gaye,null,Greatest Hits,R&B/Soul,CD
Crystal,Gayle,null,The Best Of Crystal Gayle,Country,CD
Vince,Gill,null,High Lonesome Sound,Country,CD
Lesley,Gore,null,The Best Of Lesley Gore,Pop,CD
Amy,Grant,null,House Of Love,Soft Rock,CD
Tamyra,Gray,null,The Dreamer,R&B/Soul,CD
Hunter,Hayes,null,Hunter Hayes,Country,CD
Wade,Hayes,null,On A Good Night,Country,CD
null,null,Kentucky Head Hunters,Stompin' Grounds,Country,CD
null,null,Na Leo Pilimehana,Feel The Spirit,Hawaiian,CD
Heidi,Newfield,null,What Am I Waiting For,Country,CD
null,null,98°,98° And Rising,Pop,CD
Jamie,O'Neal,null,Brave,Country,CD
null,null,OneRepublic,Dreaming Out Loud,Pop,CD
null,null,O-Town,O-Town,Pop,CD
Dolly,Parton,null,Halos & Horns,Country,CD
Faith,Hill,null,Breathe,Country,CD
null,null,Heart,Greatest Hits 1985-1995,Rock,CD
Eric,Heatherly,null,Swimming In Champagne,Country,CD
Jennifer Love,Hewitt,null,Jennifer Love Hewitt,Pop,CD
Taylor,Hicks,null,Taylor Hicks,Combination,CD
Buddy,Holly,null,Greatest Hits,Rockabilly,CD
null,null,Hometown News,Wheels,Country,CD
Julianne,Hough,null,Julianne Hough,Country,CD
Whitney,Houston,null,The Greatest Hits,Combination,CD
Rebecca Lynn,Howard,null,Rebecca Lynn Howard,Country,CD
Enrique,Iglesias,null,Bailamos,Latin,CD
Alan,Jackson,null,Who I Am,Country,CD
Janet,Jackson,null,All For You,Combination,CD
Michael,Jackson,null,Invincible,Combination,CD
Wanda,Jackson,null,Queen Of Rockabilly,Rockabilly,CD
null,null,Peaches & Herb,At Their Best,Combination,CD
Elvis,Presley,null,Best Of Artist Of The Century,Combination,CD
Prince,null,null,1999,Combination,CD
Rachel,Proctor,null,Where I Belong,Country,CD
null,null,The Pussy Cat Dolls,PCD,R&B/Soul,CD
Corinne Bailey,Rae,null,Corinne Bailey Rae,Neo Soul,CD
Bonnie,Raitt,null,Luck Of The Draw,Blues Rock,CD
null,null,The Ranch,The Ranch,Country,CD
null,null,Rascal Flatts,Rascal Flatts,Country,CD
Paula,Abdul,null,Forever Your Girl,Pop,CD
Bryan,Adams,null,18 Til I Die,Rock,CD
null,null,Aerosmith,Big Ones,Rock,CD
Clay,Aiken,null,Measure Of A Man,Pop,CD
null,null,Air Supply,Greatest Hits,Soft Rock,CD
Rhett,Akins,null,What Livin's All About,Country,CD
null,null,Alabama,For The Record 41 Number One Hits,Country,CD
Chris,Andrews,null,Pretty Belinda,Pop,CD
Jessica,Andrews,null,Who I Am,Country,CD
Marc,Anthony,null,Contra La Corriente,Latin,CD
Louis,Armstrong,null,16 Most Requested Songs,Jazz,CD
Susan,Ashton,null,Closer,Country,CD
Sherrie,Austin,null,Love In The Real World,Country,CD
Babyface,null,null,The Day,R&B/Soul,CD
null,null,BBMAK,Sooner Or Later,Pop Rock,CD
null,null,The Beach Boys,Made In The U.S.A.,Surf,CD
null,null,The Beatles,1,Rock,CD
Stephanie,Bentley,null,Hopechest,Country,CD
null,null,Bering Strait,Bering Strait,Country,CD
Crystal,Bernard,null,The Girl Next Door,Country,CD
null,null,B*Witched,Awake And Breathe,Pop,CD
Beyoncé,null,null,B Day Deluxe Edition,R&B/Soul,CD
James,Blunt,null,Back To Bedlam Expanded Edition,Soft Rock,CD
Michael,Bolton,null,Greatest Hits 1985-1995,Soft Rock,CD
null,null,Bon Jovi,New Jersey,Rock,CD
null,null,Boyz II Men,Evolution,R&B/Soul,CD
Mike,Walker,null,Memories Of Elvis,Combination,CD
India,Arie,null,Acoustic Soul,Neo Soul,CD
Mahalia,Jackson,null,"Mahalia Jackson ""Sings America's Favorite Hymns""",Christian,CD
Donna,Reeves,null,Only The Heart,Jazz,CD
Collin,Raye,null,The Best Of Collin Raye Direct Hits,Country,CD
null,null,Reality,It Won't Be Long,Pop Rock,CD
null,null,Reo Speedwagon,The Second Decade Of Rock And Roll 1981-1991,Soft Rock,CD
Lionel,Ritchie,null,Truly-The Love Songs,R&B/Soul,CD
Leann,Rimes,null,Sittin' On Top Of The World,Country,CD
Julie,Roberts,null,Julie Roberts,Country,CD
Marty,Robbins,null,The Very Best Of Marty Robbins,Country,CD
Kenny,Rogers,null,Greatest Hits,Country,CD
Linda,Ronstadt,null,Greatest Hits,Combination,CD
Rivers,Rutherford,null,Just Another Coaster,Country,CD
null,null,Savage Garden,Savage Garden,Pop,CD
null,null,S Club 7,S Club 7,Pop,CD
Jon,Secada,null,Jon Secada,Latin,CD
Neil,Sedaka,null,All The Greatest Hits,Pop,CD
Jason,Sellers,null,A Matter Of Time,Country,CD
Shakira,null,null,Laundry Service,Latin,CD
Victoria,Shaw,null,In Full View,Country,CD
null,null,SheDaisy,Fortune Teller's Melody,Country,CD
null,null,Shenandoah,Super Hits,Country,CD
null,null,The Shirelles,16 Greatest Hits,Combination,CD
null,null,Simon & Garfunkel,The Best Of Simon & Garfunkel,Folk,CD
Jake,Simpson,null,Star Search Winner: Jake Simpson ,R&B/Soul,CD
Jessica,Simpson,null,Sweet Kisses,Pop,CD
Frank,Sinatra,null,Frank Sinatra's Greatest Hits,Jazz,CD
null,null,Sons of the Desert,Change,Country,CD
null,null,Soul Asylum,Grave Dancer's Union,Alternative Rock,CD
null,null,South Sixty Five,South Sixty Five,Country,CD
null,null,Steel Magnolia,Steel Magnolia,Country,CD
null,null,The Steve Miller Band,Greatest Hits 1974-78,Psychedelic,CD
Joss,Stone,null,Mind Body & Soul,R&B/Soul,CD
George,Strait,null,Carrying Your Love With Me,Country,CD
Ruben,Studdard,null,Soulful,R&B/Soul,CD
null,null,Sugarland,Enjoy The Ride,Country,CD
null,null,Sugar Ray,14:59,Punk Rock,CD
Talor,Swift,null,Taylor Swift,Country,CD
null,null,Technotronic,Pump Up The Jam,Techno,CD
null,null,The Temptations,The Best Of The Temptations-Volume 1-The 60's 20th Century Masters The Millennium Collection,R&B/Soul,CD
Rob,Thomas,null,…Something To Be,Combination,CD
Cyndi,Thomson,null,My World,Country,CD
null,null,3 Of Hearts,3 Of Hearts,Country,CD
Pam,Tillis,null,Every Time,Country,CD
null,null,Trick Pony,Trick Pony,Country,CD
Tanya,Tucker,null,Complicated,Country,CD
Shania,Twain,null,Come On Over,Combination,CD
Tina,Turner,null,Simply The Best,R&B/Soul,CD
Carrie,Underwood,null,Carnival Ride,Country,CD
Keith,Urban,null,"Love, Pain, & The Whole Crazy Thing",Country,CD
Phil,Vassar,null,Phil Vassar,Country,CD
Mario,Vazquez,null,Mario Vazquez,Pop,CD
null,null,Warren Brothers,Beautiful Day In The Cold Cruel World,Country,CD
Jimmy,Wayne,null,Jimmy Wayne,Country,CD
Mary,Wells,null,The Best Of Mary Wells 20th Century Masters The Millennium Collection,R&B/Soul,CD
Barry,White,null,The Best Of Barry White 20th Century Masters The Millennium Collection,R&B/Soul,CD
Bryan,White,null,Between Now And Forever,Country,CD
null,null,Wilkinsons,Highway,Country,CD
Vanessa,Williams,null,The Comfort Zone,R&B/Soul,CD
Gretchen,Wilson,null,Here For The Party,Country,CD
null,null,Wilson Phillips,California,Pop,CD
Lee Ann,Womack,null,Some Things I Know,Country,CD
Stevie,Wonder,null,The Definitive Collection,Combination,CD
null,null,The Wreckers,Sand Still-Look Pretty,Country,CD
Chely,Wright,null,Let Me In,Country,CD
Elliott,Yamin,null,Elliott Yamin,R&B/Soul,CD
Trisha,Yearwood,null,Inside Out,Country,CD
Jason,Derulo,null,Everything Is 4,Combination,CD
Pink,null,null,Try This,Pop Rock,CD
Brad,Paisley,null,Moonshine In The Trunk,Country,CD
Carly Rae,Jepsen,null,Kiss,Pop Rock,CD
Tim,McGraw,null,Live Like You Were Dying,Country,CD
Jason,Aldean,null,"Old Boots, New Dirt",Country,CD
Dave,Matthews,null,Everyday,Alternative Rock,CD
null,null,3 Doors Down,The Better Life-Deluxe Edition,Alternative Rock,CD
John,Anderson,,Seminole Wind,Country,CD
null,null,Arrested Development,"3 Years, 5 Months, & 2 Days In The Life Of…",Hip Hop,CD
null,null,Atlantic Rhythm Section,The Best Of Atlantic Rhythm Section,Soft Rock,CD
B.B.,King,null,The Best Of B.B. King 20th Century Masters The Millennium Collection,Blues,CD
Ludwig Van,Beethoven,null,CD1: Famous Sonatas For Piano,Classical,CD
null,null,BELL BIV DeVOE,WBBD-BootCity! The Remix Album,Hip Hop,CD
Chuck,Berry,null,Ultimate Legends,Rock,CD
null,null,Blind Melon,Blind Melon,Psychedelic,CD
Michael,Bolton,null,"Time, Love, And Tenderness",Soft Rock,CD
null,null,Chicago,Take Me Back To Chicago,Soft Rock,CD
null,null,Counting Crows,August And Everything After,Alternative Rock,CD
null,null,Duran Duran,Duran Duran,Synth Pop,CD
Meredith,Edwards,null,Reach,Country,CD
Gloria,Estefan,null,"Hold Me, Thrill Me, Kiss Me",Latin,CD
Duke,Ellington,null,Compact Jazz,Jazz,CD
null,null,Foreigner,The Very Best..And Beyond,Soft Rock,CD
Samantha,Fox,null,Greatest Hits,Eurobeat,CD
null,null,Fugees,(Refugee Camp) The Score,Hip Hop,CD
Gabrielle,null,null,Dreams,R&B/Soul,CD
null,null,Gin Blossoms,New Miserable Experience,Alternative Rock,CD
null,null,Guess Who,The Greatest Of The Guess Who,Rock,CD
Ty,Herndon,null,Living In A Moment,Country,CD
James,Ingram,null,The Power Of Great Music,R&B/Soul,CD
Jewel,null,null,Pieces Of You,Combination,CD
Billy,Joel,null,River Of Dreams,Rock,CD
"Luther ""Houserocker""",Johnson,null,American Roots: Blues,Blues,CD
Toby,Keith,null,Greatest Hits Volume One,Country,CD
Brad,Martin,null,Wings Of A Honky Tonk Angel,Country,CD
Alanis,Morissette,null,Jagged Little Pill,Alternative Rock,CD
Van,Morrison,null,Bang Masters,Combination,CD
null,null,Mr. Big,Lean Into It,Heavy Metal,CD
null,null,No Doubt,Tragic Kingdom,Combination,CD
null,null,Painted Faces,4. Without You,Alternative Rock,CD
null,null,P.M. DAWN,"P.M. Dawn Of The Heart, Of The Soul, And Of The Cross: The Utopian Experience",Hip Hop,CD
Bruce,Springsteen,null,Greatest Hits,Heartland Rock,CD
null,null,Six,Livewired,A Capella,CD
Kevin,Sharp,null,Measure Of A Man,Country,CD
null,null,The Rolling Stones,Hot Rocks 1964-1971,Rock,CD
null,null,Restless Heart,Wheels,Country,CD
null,null,Red Hot Chili Peppers,Blood Sugar Sex Magik,Combination,CD
null,null,Redmon & Vale,Redmon & Vale,Country,CD
Ruby,Wilson,null,A Song For You,Blues,CD
John & Audrey,Wiggins,null,The Dream,Country,CD
Andrew Lloyd,Webber,null,The Premiere Collection Encore,Combination,CD
Tamra,Walker,null,Angel Eyes,Country,CD
Clay,Walker,null,Hypnotize The Moon,Country,CD
Stevie Ray,Vaughn,null,Greatest Hits,Blues,CD
null,null,U2,The Joshua Tree,Rock,CD
Bonnie ,Tyler,null,Faster Than The Speed Of Night,Heartland Rock,CD
Randy,Travis,null,Greatest Hits Volume One,Country,CD
Lisa,Stansfield,null,Affection,Rock,CD
Mark,Wills,null,Wish You Were Here,Country,CD
Michelle,Wright,null,Greatest Hits,Country,CD
null,null,Regina Regina,Regina Regina,Country,CD
Teresa,Brewer,null,The Songs Of Bessie Smith-The Cotton Collection,Jazz,CD
null,null,The Mavericks,In Time,Country,CD
null,null,SheDaisy,Brand New Year,Country,CD
null,null,null,Now That's What I Call Christmas!,Christmas,CD
Deana,Carter,null,Father Christmas,Country,CD
Jimmy,Buffet,null,Christmas Island,Island,CD
null,null,Jackson 5,The Best Of Jackson 5 20th Century Masters Christmas Collection,Christmas,CD
null,null,null,Hula Party,Hawaiian,CD
Christina,Aguilera,null,My Kind Of Christmas,Christmas,CD
null,null,The Nylons,Christmas Harmonies,Christmas,CD
Carnie & Wendy,Wilson,null,Hey Santa!,Christmas,CD
null,null,null,Country Christmas 2001,Christmas,CD
null,null,null,Happy Holidays-25 Christmas Songs ,Christmas,CD
null,null,null,Classic Country Christmas 3 CD Set,Christmas,CD
null,null,Destiny's Child,8 Days Of Christmas,Christmas,CD
null,null,null,Holiday Sounds Of The Season 2001,Christmas,CD
Kenny,Rogers,null,The Gift,Christmas,CD
null,null,null,Wrangler Cowboy Christmas Volume VIII,Christmas,CD
null,null,The Judds,Christmas Time With The Judds,Christmas,CD
Clay,Aiken,null,Merry Christmas With Love,Christmas,CD
null,null,null,Disney's CHRISTMAS COLLECTION,Christmas,CD
null,null,Alabama,Christmas Volume II,Christmas,CD
Jim,Brickman,null,JOY,Christmas,CD
Jim,Brickman,null,The Gift,Christmas,CD
null,null,null,Anastasia Music From The Motion Picture,Musical,CD
null,null,null,Phantom Of The Opera The Original Cast Recording,Musical,CD
null,null,null,The Best Of Ballroom Shall We Dance,Latin,CD
Alice,Gomez,with Madalyn Blanchett & Marilyn Rife,Journeys Of The Flute,Instrumental,CD
null,null,null,Where The Heart Is Music From The Motion Picture,Combination,CD
null,null,null,20 Million Dollar Memories,Combination,CD
null,null,null,Ray Original Motion Picture Soundtrack,Combination,CD
null,null,null,Tribute To Notorious B.I.G. I'll Be Missing You/I'll Big Poppa/Cry On,Hip Hop,CD
null,null,null,Titanic Music From The Motion Picture,Combination,CD
null,null,null,Three Decades Of Country,Country,CD
null,null,null,The Legendary Story Of Sun Records 2CD,Combination,CD
null,null,null,Slack Key Guitar Volume 2,Combination,CD
null,null,null,Selena The Original Motion Picture Soundtrack ,Latin,CD
null,null,null,Sensuous Sax The Spark,Jazz,CD
null,null,null,Music From The Motion Picture Save The Last Dance,Combination,CD
null,null,Various Artists,Music From The TV Show Popstars Scene 23,Pop,CD
null,null,null,RENT By Jonathon Larson Original Broadway Cast Recording /Two Disc Set,Musical,CD
Putumayo,null,null,New Orleans,Combination,CD
null,null,null,Kathy Kaehler Fitness Cardio Workout Music Mix,Dance,CD
null,null,null,Biggest Loser 30 Minute Workout Mix,Pop,CD
null,null,null,Ultimate Sports Jams Music,Rock,CD
null,null,Various Artists,Pure Disco,Disco,CD
null,null,null,"Music From The Television Show ""The Heights""",Pop Rock,CD
null,null,null,NOW 20,Combination,CD
null,null,null,NOW 23,Combination,CD
null,null,null,NOW 32,Combination,CD
null,null,null,GREASE! The New Broadway Cast Recording,Musical,CD
null,null,null,Hairspray Soundtrack To The Motion Picture,Musical,CD
null,null,null,Gotta Get It Hits Teen Pop,Pop,CD
null,null,null,The Biggest Loser Workout Mix:  Top 40 Hits,Pop,CD
null,null,null,South Beach Salsa,Salsa,CD
null,null,null,Zumba Fitness Greatest Hits,Combination,CD
null,null,null,Bluelight Fitness,Adult Contemporary,CD
null,null,null,BELIEVE Original Soundtrack,Instrumental,CD
null,null,null,Bailando Con Los Exitos 2000,Latin,CD
null,null,null,A Walk To Remember Music From The Motion Picture,Combination,CD
null,null,null,Steven Spielberg Presents ANIMANIACS,Children's,CD
null,null,null,American Idol Greatest Moments,Combination,CD
null,null,null,MEMPHIS Original Broadway Cast Recording,Musical,CD
null,null,null,Come Together/America Salutes The Beatles,Country,CD
null,null,null,Club Mix 2000,Dance,CD
null,null,null,MAVERICK…The Soundtrack ,Country,CD
null,null,null,Dance With Me Music From The Motion Picture,Combination,CD
null,null,null,Mama Mia! The Movie Soundtrack Featuring The Songs Of ABBA,Musical,CD
null,null,null,Music From The Motion Picture City of Angels,Rock,CD
null,null,null,Ladies Of The 60's,Doo-Wop,CD
null,null,null,Drews Famous Latin Pop Sensations,Latin,CD
George,Winston,null,Winter Into Spring,Classical,CD
null,null,null,Sun Splashin',Combination,CD
null,null,null,A Collection From The Windham Hill Group Tranquility,Electronic,CD
null,null,null,SHOW BOAT World Premiere Cast Recording,Broadway,CD
Sting,null,null,Songs Of Love Victoria's Secret exclusive,Combination,CD
null,null,null,Piano Dreams-Fur Elise,Classical,CD
null,null,null,Piano Cascades,New Age,CD
null,null,null,Pure Moods,New Age,CD
null,null,null,Opera's Greatest Love Songs,Opera,CD
null,null,null,NOISE Happy Tracks ,Pop,CD
null,null,null,New Country-Volume 4-Number 10,Country,CD
null,null,null,New Country-Volume 4-Number 7,Country,CD
null,null,null,CD 1:Music For Meditation Vol. 1,Classical,CD
null,null,null,Ladies Sing The Blues,Blues,CD
null,null,null,KRAFT Country Tour '96,Country,CD
null,null,null,KIDZ BOP 4,Pop,CD
null,null,null,KIDZ BOP 1,Pop,CD
null,null,null,Walt Disney Productions Presents Beauty And The Beast The Broadway Musical Original Broadway Cast Recording,Broadway,CD
null,null,null,Get The Blues!,Blues,CD
null,null,null,International Flavors FRANCE,International,CD
null,null,null,The Best Of Country 3 CDs,Country,CD
null,null,null,Kellogg's Presents Driving 'Em Crazy Volume 3,Country,CD
null,null,null,Kellogg's Presents Driving 'Em Crazy Volume 2,Country,CD
null,null,null,Kellogg's Presents Driving 'Em Crazy Volume 1,Country,CD
null,null,98°,Clairol Herbal Essences,Pop,CD
null,null,null,The Gift Of Romance A Windham Hill Sampler,Adult Contemporary,CD
Elvis,Presley,null,"Today, Tomorrow, & Forever",Combination,CD
Garth,Brooks,null,The Limited Series 1,Country,CD
Garth,Brooks,null,The Limited Series 2,Country,CD
Sherrie,Austin,null,Followin' A Feelin',Country,CD
Susan,Ashton,null,Angels Of Mercy,Christian,CD
Susan,Ashton,null,Susan Ashton,Country,CD
Ella,Fitzgerald,null,Best Of Ella Fitzgerald & Louis Armstrong,Jazz,CD
Louis,Armstrong,null,Best Of Ella Fitzgerald & Louis Armstrong,Jazz,CD
Marc,Anthony,null,Marc Anthony,Latin,CD
null,null,Bon Jovi,Have A Nice Day,Rock,CD
null,null,Bon Jovi,Crush,Rock,CD
null,null,BBMAK,Into Your Head,Rock,CD
Sherrie,Austin,null,Words,Country,CD
Sherrie,Austin,null,Streets Of Heaven,Country,CD
Mahalia,Jackson,null,"The Music Of ""Mahalia Jackson""",Gospel,CD
Collin,Raye,null,Tracks,Country,CD
Kenny,Rogers,null,20 Great Years,Country,CD
null,null,Savage Garden,Affirmation,Soft Rock,CD
Shakira,null,null,Oral Fixation Vol. 2,Latin,CD
null,null,SheDaisy,Knock On The Sky,Country,CD
null,null,SheDaisy,Sweet Right Here,Country,CD
null,null,SheDaisy,The Whole SHeBANG,Country,CD
null,null,Shenandoah,Under The Kudzu,Country,CD
null,null,The Shirelles,The Shirelles-16 Greatest Hits,Doo-Wop,CD
null,null,Sons of the Desert,Whatever Comes First,Country,CD
null,null,Sugarland,Twice The Speed Of Life,Country,CD
Taylor,Swift,null,Fearless,Country,CD
Taylor,Swift,null,1989,Country,CD
Taylor,Swift,null,Speak Now,Country,CD
Cyndi,Thomson,null,What I Really Meant To Say,Country,CD
Eilleen SHANIA,Twain,null,The Complete Limelight Sessions,Country,CD
Shania,Twain,null,Greatest Hits,Country,CD
Shania,Twain,null,Up!,Country,CD
Carrie,Underwood,null,Play On,Country,CD
Carrie,Underwood,null,Some Hearts,Country,CD
Keith,Urban,null,Be Here,Country,CD
Keith,Urban,null,Defying Gravity,Country,CD
Keith,Urban,null,Get Closer,Country,CD
Keith,Urban,null,Golden Road,Country,CD
null,null,The Warren Brothers,Guilty,Country,CD
null,null,The Warren Brothers,King Of Nothing,Country,CD
null,null,The Warren Brothers,Well-Deserved Obscurity,Country,CD
Bryan,White,null,How Lucky I Am,Country,CD
Bryan,White,null,The Right Place,Country,CD
null,null,The Wilkinsons,Here And Now,Country,CD
Lee Ann,Womack,null,Something Worth Leaving Behind,Country,CD
Chely,Wright,null,The Metropolitan Hotel,Country,CD
Chely,Wright,null,Never Love You Enough,Country,CD
Chely,Wright,null,Single White Female,Country,CD
Trisha,Yearwood,null,Real Live Woman,Country,CD
Trisha,Yearwood,null,(Songbook) A Collection Of Hits,Country,CD
Michael,Jackson,null,"History Past, Present And Future Book 1",Combination,CD
Taylor,Swift,null,Red,Country,CD
Cher,null,null,Greatest Hits,Rock,CD
null,null,null,Biggest Loser Top 40 Vol. 4,Pop,CD
Michael,Bublé,null,It's Time,Combination,CD
Trisha,Yearwood,null,How Do I Live,Country,CD
Leann,Rimes,null,How Do I Live,Country,CD
Jim,Brickman,null,Ballads,New Age,CD
null,null,Alabama,Dancin' On The Boulevard,Country,CD
null,null,null,A Song For My Daughter,Adult Contemporary,CD
"Nat ""King"" ",Cole,null,Compact Jazz,Jazz,CD
Nicholas,Gunn,null,Passion In My Heart,International,CD
Billy,Joel,null,Greatest Hits Volume I & Volume II,Rock,CD
null,null,P.M. DAWN,The Bliss Album…?,Hip Hop,CD
Andre,Rieu,null,Songs From My Heart-Aus Meinem Herzen,Classical,CD
Jon,Secada,null,Grandes Exitos,Latin,CD
Clay,Walker,null,Rumor Has It,Country,CD
Jim,Brickman,null,Destiny,New Age,CD
Jim,Brickman,null,Missing Moments,New Age,CD
Jim,Brickman,null,No Words,New Age,CD
Jim,Brickman,null,Picture This,New Age,CD
Jim,Brickman,null,Simple Things,New Age,CD
Garth,Brooks,null,Garth Brooks as Chris Gaines Lost In You,Combination,CD
Garth,Brooks,null,Man Against The Machine,Country,CD
Garth,Brooks,null,Scarecrow,Country,CD
Garth,Brooks,null,Sevens,Country,CD
Carolyn Dawn,Johnson,null,Room With A View,Country,CD
Wynonna,Judd,null,The Other Side,Country,CD
Wynonna,Judd,null,What The World Needs Now Is Love,Country,CD
Deana,Carter,null,Did I Shave…? ,Country,CD
Deana,Carter,null,Everything's Gonna Be Alright,Country,CD
Deana,Carter,null,I'm Just A Girl,Country,CD
Deana,Carter,null,The Chain,Country,CD
Deana,Carter,null,The Story Of My Life,Country,CD
null,null,The Kinleys,Just Between You And Me,Country,CD
null,null,The Kinleys,II,Country,CD
Jonny,Lang,null,Long Time Coming,Blues,CD
Jonny,Lang,null,Turn Around,Blues,CD
Cher,null,null,Heart Of Stone,Rock,CD
null,null,Chicago,Chicago IX Chicago's Greatest Hits,Soft Rock,CD
null,null,null,Chicago Music From The Miramax Motion Picture,Musical,CD
Eric,Clapton,null,Slowhand,Blues,CD
Lisa,Loeb,null,Firecracker,Rock,CD
null,null,Lonestar,Crazy Nights,Country,CD
null,null,Lonestar,Lonely Grill,Country,CD
null,null,The Lynns,Shoes,Country,CD
null,null,The Lynns,II,Country,CD
Kelly,Clarkson,null,Thankful,Pop,CD
Tammy,Cochran,null,Life Happened,Country,CD
null,null,Color Me Badd,C.M.B.,R&B/Soul,CD
Richard,Marx,null,Repeat Offender,Soft Rock,CD
Richard,Marx,null,Rush Street,Soft Rock,CD
Mila,Mason,null,The Strong One,Country,CD
Kelly,Clarkson,null,Breakaway,Pop,CD
Linda,Davis,null,Some Things Are Meant To Be,Country,CD
Celine,Dion,null,Let's Talk About Love,Pop,CD
John,Mayer,null,Room For Squares,Blues,CD
Martina,McBride,null,Evolution,Country,CD
Martina,McBride,null,Martina,Country,CD
Martina,McBride,null,The Time Has Come/The Way That I Am/Wild Angels-Triple Feature,Country,CD
Martina,McBride,null,Wake Up Laughing,Country,CD
Martina,McBride,null,The Way That I Am,Country,CD
null,null,Dixie Chicks,Long Time Gone,Country,CD
null,null,En Vogue,The Very Best Of En Vogue,R&B/Soul,CD
Mindy,McCready,null,If I Don't Stay The Night,Country,CD
Meatloaf,null,null,Welcome To The Neighborhood,Rock,CD
null,null,M2M,Shades Of Purple,Combination,CD
null,null,Na Leo Pilimehana,Anthology II 1984-2001,Hawaiian,CD
Jamie,O'Neal,null,Shiver,Country,CD
Dolly,Parton,null,Heartbreaker,Country,CD
Dolly,Parton,null,Heartsongs,Country,CD
Dolly,Parton,null,Hungry Again,Country,CD
Dolly,Parton,null,I Will Always Love You And Other Greatest Hits,Country,CD
Faith,Hill,null,Cry,Country,CD
Faith,Hill,null,Faith,Country,CD
Faith,Hill,null,Fireflies,Country,CD
Whitney,Houston,null,Just Whitney,Combination,CD
Whitney,Houston,null,Whitney,Combination,CD
Rebecca Lynn,Howard,null,Forgive,Country,CD
Rebecca Lynn,Howard,null,No Rules,Country,CD
Janet,Jackson,null,Design Of A Decade 1986/1996,Combination,CD
Michael,Jackson,null,Thriller,Combination,CD
Freda,Payne,null,The Best Of Freda Payne,R&B/Soul,CD
null,null,Peaches & Herb,Two Of A Kind,R&B/Soul,CD
Bonnie,Raitt,null,Nick Of Time,Combination,CD
null,null,Rascal Flatts,Feel Like Today,Country,CD
null,null,Rascal Flatts,"""Live""",Country,CD
null,null,Rascal Flatts,Me And My Gang,Country,CD
null,null,Rascal Flatts,Melt,Country,CD
null,null,Rascal Flatts,Still Feels Good,Country,CD
null,null,Rascal Flatts,Unstoppable,Country,CD
